"SIRUTA";"DENLOC";"CODP";"JUD";"SIRSUP";"TIP";"NIV";"MED";"REGIUNE";"FSJ";"FS2";"FS3";"FSL";"rang";"fictiv"
10,00;"JUDEÞUL ALBA";0,00;1;1,00;40;1;"0";7;1;"     ";"       ";"0100000000000";;
1017,00;"MUNICIPIUL ALBA IULIA";0,00;1;10,00;1;2;"1";7;1;"01";"       ";"0111673000000";"II";
1026,00;"ALBA IULIA";0,00;1;1017,00;9;3;"1";7;1;"0111673";"1000084";"0111673100085";"II";
1035,00;"BARABANÞ";510001,00;1;1017,00;10;3;"1";7;1;"0111673";"2000732";"0111673500731";"V";
1044,00;"MICEªTI";510002,00;1;1017,00;10;3;"1";7;1;"0111673";"2007411";"0111673507383";"V";
1053,00;"OARDA";510003,00;1;1017,00;10;3;"1";7;1;"0111673";"2008111";"0111673508122";"V";
1062,00;"PÎCLIªA";510004,00;1;1017,00;10;3;"1";7;1;"0111673";"2008620";"0111673508905";"V";
1213,00;"MUNICIPIUL AIUD";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121672000000";"II";
1222,00;"AIUD";515200,00;1;1213,00;9;3;"1";7;1;"0121672";"1000079";"0121672100080";"II";
1231,00;"AIUDUL DE SUS";515201,00;1;1213,00;10;3;"1";7;1;"0121672";"2000080";"0121672500081";"V";
1277,00;"CIUMBRUD";515202,00;1;1213,00;11;3;"1";7;1;"0121672";"3002907";"0121672502820";"V";
1240,00;"GÎMBAª";515203,00;1;1213,00;10;3;"1";7;1;"0121672";"2005072";"0121672505279";"V";
1286,00;"GÎRBOVA DE JOS";515204,00;1;1213,00;11;3;"1";7;1;"0121672";"3005083";"0121672505290";"V";
1295,00;"GÎRBOVA DE SUS";515205,00;1;1213,00;11;3;"1";7;1;"0121672";"3005084";"0121672505291";"V";
1302,00;"GÎRBOVIÞA";515206,00;1;1213,00;11;3;"1";7;1;"0121672";"3005090";"0121672505296";"V";
1259,00;"MAGINA";515207,00;1;1213,00;10;3;"1";7;1;"0121672";"2007086";"0121672507095";"V";
1268,00;"PAGIDA";515208,00;1;1213,00;10;3;"1";7;1;"0121672";"2008525";"0121672508537";"V";
1311,00;"SÎNCRAI";515209,00;1;1213,00;11;3;"1";7;1;"0121672";"3010574";"0121672510895";"V";
1320,00;"ÞIFRA";515210,00;1;1213,00;11;3;"1";7;1;"0121672";"3012378";"0121672512389";"V";
1348,00;"MUNICIPIUL BLAJ";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121682000000";"II";
1357,00;"BLAJ";515400,00;1;1348,00;9;3;"1";7;1;"0121682";"1001132";"0121682101132";"II";
1366,00;"DELENI-OBÎRªIE";515401,00;1;1348,00;10;3;"1";7;1;"0121682";"2004011";"0121682503981";"V";
1375,00;"FLITEªTI";515402,00;1;1348,00;10;3;"1";7;1;"0121682";"2004777";"0121682504782";"V";
1384,00;"IZVOARELE";515403,00;1;1348,00;10;3;"1";7;1;"0121682";"2006269";"0121682506272";"V";
1428,00;"MANARADE";515404,00;1;1348,00;11;3;"1";7;1;"0121682";"3007159";"0121682507168";"V";
1393,00;"PETRISAT";515405,00;1;1348,00;10;3;"1";7;1;"0121682";"2008796";"0121682508760";"V";
1437,00;"SPATAC";515406,00;1;1348,00;11;3;"1";7;1;"0121682";"3011132";"0121682511149";"V";
1400,00;"TIUR";515407,00;1;1348,00;10;3;"1";7;1;"0121682";"2012073";"0121682512042";"V";
1419,00;"VEZA";515408,00;1;1348,00;10;3;"1";7;1;"0121682";"2013318";"0121682513254";"V";
1874,00;"MUNICIPIUL SEBEª";0,00;1;10,00;4;2;"1";7;1;"01";"       ";"0121745000000";"II";
1883,00;"SEBEª";515800,00;1;1874,00;9;3;"1";7;1;"0121745";"1010791";"0121745110698";"II";
1892,00;"LANCRAM";515801,00;1;1874,00;10;3;"1";7;1;"0121745";"2006446";"0121745506454";"V";
1909,00;"PETREªTI";515850,00;1;1874,00;10;3;"1";7;1;"0121745";"2008771";"0121745508733";"V";
1918,00;"RAHAU";515802,00;1;1874,00;11;3;"1";7;1;"0121745";"3009789";"0121745509803";"V";
1151,00;"ORAª ABRUD";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131870000000";"III";
1160,00;"ABRUD";515100,00;1;1151,00;17;3;"1";7;1;"0131870";"1000009";"0131870200010";"III";
1179,00;"ABRUD-SAT";515101,00;1;1151,00;18;3;"1";7;1;"0131870";"2000011";"0131870600011";"V";
1188,00;"GURA CORNEI";515102,00;1;1151,00;18;3;"1";7;1;"0131870";"2005598";"0131870605605";"V";
1197,00;"SOHARU";515103,00;1;1151,00;18;3;"1";7;1;"0131870";"2011089";"0131870611106";"V";
2915,00;"ORAª BAIA DE ARIEª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131881000000";"III";
2924,00;"BAIA DE ARIEª";515300,00;1;2915,00;17;3;"1";7;1;"0131881";"1000421";"0131881200422";"III";
2933,00;"BRAZEªTI";515301,00;1;2915,00;19;3;"1";7;1;"0131881";"3001610";"0131881601611";"V";
2942,00;"CIOARA DE SUS";515302,00;1;2915,00;19;3;"1";7;1;"0131881";"3002756";"0131881602670";"V";
2951,00;"MUNCELU";515303,00;1;2915,00;19;3;"1";7;1;"0131881";"3007793";"0131881607801";"V";
2960,00;"SARTAª";515304,00;1;2915,00;19;3;"1";7;1;"0131881";"3010286";"0131881610300";"V";
2979,00;"SIMULEªTI";515305,00;1;2915,00;19;3;"1";7;1;"0131881";"3010941";"0131881610850";"V";
1455,00;"ORAª CÎMPENI";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131924000000";"III";
1464,00;"CÎMPENI";515500,00;1;1455,00;17;3;"1";7;1;"0131924";"1002334";"0131924202877";"III";
1473,00;"BONCEªTI";515501,00;1;1455,00;18;3;"1";7;1;"0131924";"2001344";"0131924601345";"V";
1482,00;"BORLEªTI";515502,00;1;1455,00;18;3;"1";7;1;"0131924";"2001378";"0131924601379";"V";
1491,00;"BOTEªTI";515503,00;1;1455,00;18;3;"1";7;1;"0131924";"2001439";"0131924601440";"V";
1507,00;"CERTEGE";515504,00;1;1455,00;18;3;"1";7;1;"0131924";"2002526";"0131924602439";"V";
1516,00;"COASTA VÎSCULUI";515505,00;1;1455,00;18;3;"1";7;1;"0131924";"2002996";"0131924602998";"V";
1525,00;"DANDUÞ";515506,00;1;1455,00;18;3;"1";7;1;"0131924";"2003837";"0131924603842";"V";
1534,00;"DEALU BISTRII";515507,00;1;1455,00;18;3;"1";7;1;"0131924";"2003911";"0131924603881";"V";
1543,00;"DEALU CAPSEI";515508,00;1;1455,00;18;3;"1";7;1;"0131924";"2003914";"0131924603884";"V";
1552,00;"DRIC";515509,00;1;1455,00;18;3;"1";7;1;"0131924";"2004338";"0131924604342";"V";
1561,00;"FAÞA ABRUDULUI";515510,00;1;1455,00;18;3;"1";7;1;"0131924";"2004535";"0131924604540";"V";
1570,00;"FLOREªTI";515511,00;1;1455,00;18;3;"1";7;1;"0131924";"2004796";"0131924604796";"V";
1589,00;"FURDUIEªTI";515512,00;1;1455,00;18;3;"1";7;1;"0131924";"2004944";"0131924604950";"V";
1598,00;"MIHOEªTI";515513,00;1;1455,00;18;3;"1";7;1;"0131924";"2007489";"0131924607460";"V";
1605,00;"MOTORAªTI";515514,00;1;1455,00;18;3;"1";7;1;"0131924";"2007738";"0131924607747";"V";
1614,00;"PESTE VALEA BISTRII";515515,00;1;1455,00;18;3;"1";7;1;"0131924";"2008722";"0131924608686";"V";
1623,00;"PODURI";515516,00;1;1455,00;18;3;"1";7;1;"0131924";"2009131";"0131924609141";"V";
1632,00;"SORLIÞA";515517,00;1;1455,00;18;3;"1";7;1;"0131924";"2011125";"0131924611142";"V";
1641,00;"TOMUªEªTI";515518,00;1;1455,00;18;3;"1";7;1;"0131924";"2012124";"0131924612141";"V";
1650,00;"VALEA BISTRII";515519,00;1;1455,00;18;3;"1";7;1;"0131924";"2012671";"0131924612686";"V";
1669,00;"VALEA CASELOR";515520,00;1;1455,00;18;3;"1";7;1;"0131924";"2012694";"0131924612707";"V";
1678,00;"VÎRªI";515521,00;1;1455,00;18;3;"1";7;1;"0131924";"2013252";"0131924613446";"V";
1696,00;"ORAª CUGIR";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131932000000";"III";
1703,00;"CUGIR";515600,00;1;1696,00;17;3;"1";7;1;"0131932";"1003682";"0131932203685";"III";
1712,00;"BOCªITURA";515601,00;1;1696,00;18;3;"1";7;1;"0131932";"2001210";"0131932601211";"V";
1721,00;"BUCURU";515602,00;1;1696,00;18;3;"1";7;1;"0131932";"2001766";"0131932601767";"V";
1730,00;"CALENE";515603,00;1;1696,00;18;3;"1";7;1;"0131932";"2002147";"0131932602148";"V";
1749,00;"FEÞENI";515604,00;1;1696,00;18;3;"1";7;1;"0131932";"2004710";"0131932604665";"V";
1758,00;"GOAªELE";515605,00;1;1696,00;18;3;"1";7;1;"0131932";"2005361";"0131932605368";"V";
1767,00;"MUGEªTI";515606,00;1;1696,00;18;3;"1";7;1;"0131932";"2007784";"0131932607793";"V";
1776,00;"VINEREA";515607,00;1;1696,00;18;3;"1";7;1;"0131932";"2013387";"0131932613322";"V";
1794,00;"ORAª OCNA MUREª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0131992000000";"III";
1801,00;"OCNA MUREª";515700,00;1;1794,00;17;3;"1";7;1;"0131992";"1008160";"0131992208171";"III";
1838,00;"CISTEIU DE MUREª";515701,00;1;1794,00;19;3;"1";7;1;"0131992";"3002867";"0131992602781";"V";
1847,00;"MICOªLACA";515702,00;1;1794,00;19;3;"1";7;1;"0131992";"3007422";"0131992607393";"V";
1856,00;"RAZBOIENI-CETATE";515703,00;1;1794,00;19;3;"1";7;1;"0131992";"3009831";"0131992609844";"V";
1810,00;"UIOARA DE JOS";515704,00;1;1794,00;18;3;"1";7;1;"0131992";"2012443";"0131992612459";"V";
1829,00;"UIOARA DE SUS";515705,00;1;1794,00;18;3;"1";7;1;"0131992";"2012444";"0131992612460";"V";
8096,00;"ORAª TEIUª";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0132050000000";"III";
8103,00;"TEIUª";515900,00;1;8096,00;17;3;"1";7;1;"0132050";"1011953";"0132050211922";"III";
8112,00;"BELDIU";515901,00;1;8096,00;19;3;"1";7;1;"0132050";"3000938";"0132050600852";"V";
8121,00;"CAPUD";515902,00;1;8096,00;19;3;"1";7;1;"0132050";"3002238";"0132050602239";"V";
8130,00;"COªLARIU NOU";515903,00;1;8096,00;19;3;"1";7;1;"0132050";"3003392";"0132050603395";"V";
8149,00;"PEÞELCA";515904,00;1;8096,00;19;3;"1";7;1;"0132050";"3008812";"0132050608776";"V";
1936,00;"ORAª ZLATNA";0,00;1;10,00;2;2;"1";7;1;"01";"       ";"0132078000000";"III";
1945,00;"ZLATNA";516100,00;1;1936,00;17;3;"1";7;1;"0132078";"1013705";"0132078213723";"III";
1954,00;"BOTEªTI";516101,00;1;1936,00;19;3;"1";7;1;"0132078";"3001442";"0132078601438";"V";
1963,00;"BUDENI";516102,00;1;1936,00;19;3;"1";7;1;"0132078";"3001794";"0132078601795";"V";
1972,00;"DEALU ROATEI";516103,00;1;1936,00;19;3;"1";7;1;"0132078";"3003956";"0132078603926";"V";
1981,00;"DOBROT";516104,00;1;1936,00;19;3;"1";7;1;"0132078";"3004141";"0132078604147";"V";
1990,00;"DUMBRAVA";516105,00;1;1936,00;19;3;"1";7;1;"0132078";"3004393";"0132078604404";"V";
2005,00;"FENEª";516106,00;1;1936,00;19;3;"1";7;1;"0132078";"3004688";"0132078604643";"V";
2014,00;"GALAÞI";516107,00;1;1936,00;19;3;"1";7;1;"0132078";"3004957";"0132078604964";"V";
2023,00;"IZVORU AMPOIULUI";516108,00;1;1936,00;19;3;"1";7;1;"0132078";"3006303";"0132078606311";"V";
2032,00;"PATRÎNGENI";516109,00;1;1936,00;19;3;"1";7;1;"0132078";"3008579";"0132078608591";"V";
2041,00;"PIRITA";516111,00;1;1936,00;19;3;"1";7;1;"0132078";"3008899";"0132078608863";"V";
2050,00;"PÎRAU GRUIULUI";516110,00;1;1936,00;19;3;"1";7;1;"0132078";"3008632";"0132078608915";"V";
2069,00;"PODU LUI PAUL";516112,00;1;1936,00;19;3;"1";7;1;"0132078";"3009112";"0132078609124";"V";
2078,00;"RUNC";516113,00;1;1936,00;19;3;"1";7;1;"0132078";"3010160";"0132078610173";"V";
2087,00;"RUªI";516114,00;1;1936,00;19;3;"1";7;1;"0132078";"3010217";"0132078610227";"V";
2096,00;"SUSENI";516115,00;1;1936,00;19;3;"1";7;1;"0132078";"3011447";"0132078611465";"V";
2103,00;"TRÎMPOIELE";516116,00;1;1936,00;19;3;"1";7;1;"0132078";"3012193";"0132078612244";"V";
2112,00;"VALEA MICA";516117,00;1;1936,00;19;3;"1";7;1;"0132078";"3012862";"0132078612877";"V";
2121,00;"VÎLTORI";516118,00;1;1936,00;19;3;"1";7;1;"0132078";"3013217";"0132078613417";"V";
2130,00;"ALBAC";0,00;1;10,00;3;2;"3";7;1;"01";"       ";"0150024000000";"IV";
2149,00;"ALBAC";517005,00;1;2130,00;22;3;"3";7;1;"0150024";"1000085";"0150024300086";"IV";
